迁出省份,迁出城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
江苏省,镇江市,0.1,0.14,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.11,0.12,0.11,0.1,0.13,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.13,0.14,0.14,0.11,0.13
福建省,漳州市,0.1,0.14,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.11,0.12,0.1,0.09,0.13,0.1,0.1,0.11,0.11,0.1,0.11,0.12,0.12,0.11,0.12,0.14,0.14,0.11,0.12
广东省,韶关市,0.1,0.13,0.1,0.1,0.09,0.08,0.1,0.1,0.09,0.09,0.11,0.11,0.1,0.09,0.13,0.1,0.1,0.11,0.11,0.09,0.11,0.11,0.12,0.11,0.12,0.13,0.13,0.11,0.12
江西省,吉安市,0.09,0.13,0.1,0.1,0.09,0.08,0.09,0.1,0.09,0.08,0.1,0.11,0.09,0.09,0.12,0.1,0.09,0.11,0.11,0.09,0.11,0.11,0.12,0.11,0.12,0.13,0.13,0.11,0.12
辽宁省,沈阳市,0.09,0.13,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.1,0.11,0.09,0.09,0.11,0.09,0.08,0.11,0.1,0.09,0.1,0.11,0.11,0.11,0.12,0.13,0.13,0.11,0.12
河南省,新乡市,0.08,0.12,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.1,0.11,0.09,0.09,0.11,0.09,0.08,0.11,0.1,0.09,0.1,0.11,0.11,0.11,0.12,0.13,0.13,0.11,0.12
湖南省,娄底市,0.08,0.12,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.1,0.11,0.09,0.09,0.11,0.09,0.08,0.11,0.1,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.11,0.12
山东省,潍坊市,0.08,0.12,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.1,0.11,0.09,0.09,0.1,0.09,0.08,0.11,0.1,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.1,0.1
辽宁省,葫芦岛市,0.08,0.12,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.11,0.09,0.09,0.1,0.09,0.08,0.11,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.1,0.1
江西省,抚州市,0.08,0.12,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.1,0.1
河南省,焦作市,0.08,0.12,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.12,0.13,0.1,0.1
黑龙江省,哈尔滨市,0.08,0.12,0.09,0.08,0.07,0.08,0.08,0.09,0.08,0.07,0.09,0.1,0.08,0.09,0.1,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.09
山西省,临汾市,0.08,0.12,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.07,0.09,0.09,0.08,0.09,0.1,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.09
江西省,新余市,0.08,0.12,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.09,0.1,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.11,0.11,0.12,0.09,0.09
安徽省,宿州市,0.08,0.12,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.11,0.1,0.12,0.09,0.09
陕西省,宝鸡市,0.08,0.12,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.1,0.08,0.09,0.11,0.1,0.12,0.09,0.09
广西壮族自治区,柳州市,0.07,0.11,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.1,0.08,0.09,0.1,0.1,0.11,0.09,0.08
山西省,运城市,0.07,0.11,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.07,0.07,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0.1,0.1,0.11,0.09,0.08
云南省,昆明市,0.07,0.1,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.09,0.1,0.1,0.11,0.09,0.08
